id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_permukaan,panjang_ruas_jalan,satuan,tahun
119,32,JAWA BARAT,3213,KABUPATEN SUBANG,TIDAK DI ASPAL,0.0,KILOMETER,2020
120,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAINNYA,5.8,KILOMETER,2020
121,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,ASPAL,58.41,KILOMETER,2020
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,TIDAK DI ASPAL,0.0,KILOMETER,2020
123,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAINNYA,12.1,KILOMETER,2020
124,32,JAWA BARAT,3215,KABUPATEN KARAWANG,ASPAL,31.33,KILOMETER,2020
125,32,JAWA BARAT,3215,KABUPATEN KARAWANG,TIDAK DI ASPAL,0.0,KILOMETER,2020
126,32,JAWA BARAT,3215,KABUPATEN KARAWANG,LAINNYA,48.5,KILOMETER,2020
127,32,JAWA BARAT,3216,KABUPATEN BEKASI,ASPAL,10.73,KILOMETER,2020
128,32,JAWA BARAT,3216,KABUPATEN BEKASI,TIDAK DI ASPAL,0.0,KILOMETER,2020
129,32,JAWA BARAT,3216,KABUPATEN BEKASI,LAINNYA,20.8,KILOMETER,2020
130,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,ASPAL,59.82,KILOMETER,2020
131,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,TIDAK DI ASPAL,0.0,KILOMETER,2020
132,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,LAINNYA,13.35,KILOMETER,2020
133,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,ASPAL,8.29,KILOMETER,2020
134,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,TIDAK DI ASPAL,0.0,KILOMETER,2020
135,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,LAINNYA,0.6,KILOMETER,2020
136,32,JAWA BARAT,3271,KOTA BOGOR,ASPAL,9.2,KILOMETER,2020
137,32,JAWA BARAT,3271,KOTA BOGOR,TIDAK DI ASPAL,0.0,KILOMETER,2020
138,32,JAWA BARAT,3271,KOTA BOGOR,LAINNYA,1.96,KILOMETER,2020
139,32,JAWA BARAT,3272,KOTA SUKABUMI,ASPAL,25.51,KILOMETER,2020
140,32,JAWA BARAT,3272,KOTA SUKABUMI,TIDAK DI ASPAL,0.0,KILOMETER,2020
141,32,JAWA BARAT,3272,KOTA SUKABUMI,LAINNYA,8.04,KILOMETER,2020
142,32,JAWA BARAT,3273,KOTA BANDUNG,ASPAL,31.67,KILOMETER,2020
143,32,JAWA BARAT,3273,KOTA BANDUNG,TIDAK DI ASPAL,0.0,KILOMETER,2020
144,32,JAWA BARAT,3273,KOTA BANDUNG,LAINNYA,6.78,KILOMETER,2020
145,32,JAWA BARAT,3274,KOTA CIREBON,ASPAL,5.95,KILOMETER,2020
146,32,JAWA BARAT,3274,KOTA CIREBON,TIDAK DI ASPAL,0.0,KILOMETER,2020
