id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,mobil_penumpang,bus,truk,sepeda_motor,satuan,tahun
85,0,0,0,KABUPATEN BANDUNG,133007,1023,38026,975892,UNIT,2024
86,0,0,0,KABUPATEN GARUT,39787,909,16475,403226,UNIT,2024
87,0,0,0,KABUPATEN TASIKMALAYA,24984,653,11203,299419,UNIT,2024
88,0,0,0,KABUPATEN CIAMIS,25541,831,11544,247576,UNIT,2024
89,0,0,0,KABUPATEN KUNINGAN,30168,568,9084,313928,UNIT,2024
90,0,0,0,KABUPATEN CIREBON,59374,1403,24531,675009,UNIT,2024
91,0,0,0,KABUPATEN MAJALENGKA,26935,848,11850,333073,UNIT,2024
92,0,0,0,KABUPATEN SUMEDANG,27481,341,9923,290947,UNIT,2024
93,0,0,0,KABUPATEN INDRAMAYU,40876,801,17308,476930,UNIT,2024
94,0,0,0,KABUPATEN SUBANG,35873,442,12521,407182,UNIT,2024
95,0,0,0,KABUPATEN PURWAKARTA,35396,337,10966,270523,UNIT,2024
96,0,0,0,KABUPATEN KARAWANG,103647,1441,30648,761919,UNIT,2024
97,0,0,0,KABUPATEN BEKASI,241387,3696,62313,1268448,UNIT,2024
98,0,0,0,KABUPATEN BANDUNG BARAT,74820,546,21732,561092,UNIT,2024
99,0,0,0,KABUPATEN PANGANDARAN,7676,54,4290,77996,UNIT,2024
100,0,0,0,KOTA BOGOR,96220,634,11663,372957,UNIT,2024
101,0,0,0,KOTA SUKABUMI,19741,439,4920,97853,UNIT,2024
102,0,0,0,KOTA BANDUNG,373871,5918,64138,1099590,UNIT,2024
103,0,0,0,KOTA CIREBON,30541,434,12076,130179,UNIT,2024
104,0,0,0,KOTA BEKASI,311207,2606,54344,1145967,UNIT,2024
105,0,0,0,KOTA DEPOK,206405,841,19682,973220,UNIT,2024
106,0,0,0,KOTA CIMAHI,47823,243,6491,240895,UNIT,2024
107,0,0,0,KOTA TASIKMALAYA,30412,1227,12614,205759,UNIT,2024
108,0,0,0,KOTA BANJAR,6288,61,2428,58452,UNIT,2024
